timestamp_ms,seek,scaleQ0,scaleQ1,scaleQ2,scaleQ3,R,H
867477760,0.300,1.000,1.000,1.000,1.000,6.000,6.000
867478760,0.450,1.000,1.000,1.000,1.000,6.000,6.000
867479760,0.600,1.000,1.000,1.000,1.000,6.000,6.000
867480764,0.750,1.000,1.000,1.000,1.000,6.000,6.000
867481764,0.900,1.000,1.000,1.000,1.000,6.000,6.000
867482764,1.050,1.000,1.000,1.000,1.000,6.000,6.000
867483768,1.200,1.000,1.000,1.000,1.000,6.000,6.000
867484768,0.200,1.000,0.900,0.800,0.900,6.000,6.000
867485772,0.300,1.000,0.900,0.800,0.900,6.000,6.000
867486772,0.450,1.000,0.900,0.800,0.900,6.000,6.000
867487774,0.600,1.000,0.900,0.800,0.900,6.000,6.000
867488778,0.750,1.000,0.900,0.800,0.900,6.000,6.000
867489780,0.900,1.000,0.900,0.800,0.900,6.000,6.000
867490781,1.050,1.000,0.900,0.800,0.900,6.000,6.000
867491785,1.200,1.000,0.900,0.800,0.900,6.000,6.000
867492785,0.200,0.900,1.000,0.900,0.800,6.000,6.000
867493789,0.300,0.900,1.000,0.900,0.800,6.000,6.000
